overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
26,26,MPR-A29631ACB1,Teluk Bakau,Kuala Kampar,Pelalawan,0.1,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
27,27,MPR-BC1BBB23AC,Teluk Bakau,Kuala Kampar,Pelalawan,0.09,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
28,28,MPR-049347A4D6,Teluk Bakau,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
29,29,MPR-069C97EFC1,Teluk Bakau,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
30,30,MPR-45A89D739A,Teluk Bakau,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
31,31,MPR-7B5D472979,Teluk Bakau,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
32,32,MPR-88298E6FFD,Teluk Bakau,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
33,33,MPR-C6A6E441CE,Teluk Bakau,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
34,34,MPR-77E9108871,Teluk Bakau,Kuala Kampar,Pelalawan,0.05,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
35,35,MPR-F3E7235ACB,Teluk Bakau,Kuala Kampar,Pelalawan,1.07,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
36,36,MPR-7D76F42E53,Teluk Bakau,Kuala Kampar,Pelalawan,0.88,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
37,37,MPR-9F192B9C04,Teluk Bakau,Kuala Kampar,Pelalawan,0.88,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
38,1,MPR-93FDBC46CB,Teluk Beringin,Kuala Kampar,Pelalawan,0.85,P2,Regenerasi alami terbantu,69.6,59,84,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
39,38,MPR-857D4251E0,Teluk Bakau,Kuala Kampar,Pelalawan,0.8,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
40,39,MPR-A512951B5C,Teluk Bakau,Kuala Kampar,Pelalawan,0.727,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
41,40,MPR-1270F01322,Teluk Bakau,Kuala Kampar,Pelalawan,0.68,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
42,41,MPR-5D1B3286D0,Teluk Bakau,Kuala Kampar,Pelalawan,0.68,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
43,2,MPR-C13F79CD60,Teluk Beringin,Kuala Kampar,Pelalawan,0.66,P2,Regenerasi alami terbantu,69.6,59,84,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
44,3,MPR-24CB7B08F9,Teluk Beringin,Kuala Kampar,Pelalawan,0.56,P2,Regenerasi alami terbantu,69.6,59,84,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
45,4,MPR-3AF2B3A938,Teluk Beringin,Kuala Kampar,Pelalawan,0.53,P2,Regenerasi alami terbantu,69.6,59,84,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
46,42,MPR-385D16F143,Teluk Bakau,Kuala Kampar,Pelalawan,0.51,P2,Regenerasi alami terbantu,69.6,60,84,34,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
47,5,MPR-24D1D4A3A9,Teluk Beringin,Kuala Kampar,Pelalawan,0.42,P2,Regenerasi alami terbantu,69.6,59,84,32,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
48,6,MPR-5C0C569D40,Teluk Beringin,Kuala Kampar,Pelalawan,0.204,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
49,7,MPR-B3BD318A7D,Teluk Beringin,Kuala Kampar,Pelalawan,0.19,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
50,8,MPR-4BF07D40FE,Teluk Beringin,Kuala Kampar,Pelalawan,0.18,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
51,9,MPR-893CCBBDF4,Teluk Beringin,Kuala Kampar,Pelalawan,0.13,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
52,10,MPR-77F8A19AD7,Teluk Beringin,Kuala Kampar,Pelalawan,0.11,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
53,11,MPR-A14EBF0F4F,Teluk Beringin,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
54,12,MPR-C5DF69C463,Teluk Beringin,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
55,13,MPR-4EF74244B9,Teluk Beringin,Kuala Kampar,Pelalawan,0.05,P2,Regenerasi alami terbantu,69.6,58,85,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
56,43,MPR-448EDD013A,Teluk Bakau,Kuala Kampar,Pelalawan,1.67,P2,Regenerasi alami terbantu,69.5,61,83,35,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
57,44,MPR-DB96A9D011,Teluk Bakau,Kuala Kampar,Pelalawan,1.56,P2,Regenerasi alami terbantu,69.5,61,83,35,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
58,14,MPR-046B5845C6,Teluk Beringin,Kuala Kampar,Pelalawan,1.5,P2,Regenerasi alami terbantu,69.5,60,83,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
59,45,MPR-2E8A31C0C8,Teluk Bakau,Kuala Kampar,Pelalawan,1.49,P2,Regenerasi alami terbantu,69.5,61,83,35,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
60,15,MPR-A60F868A9C,Teluk Beringin,Kuala Kampar,Pelalawan,1.05,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
61,46,MPR-4AFEE517F8,Teluk Bakau,Kuala Kampar,Pelalawan,0.41,P2,Regenerasi alami terbantu,69.4,59,84,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
